Circulating Library,Destination Library,Transit ID
Clymer Library,Smithfield Branch,406
Clymer Library,Southern Lehigh Public Library,94
Clymer Library,Western Pocono Community Library,347
Clymer Library,Western Pocono Community Library System,2
Clymer Library,Whitehall Township Public Library,94
Collinsville Community Library,Arthur Hufnagel Public Library,10
Collinsville Community Library,Carroll Valley Library,10
Collinsville Community Library,Collinsville Community Library,17
Collinsville Community Library,Dillsburg Area Public Library,222
Collinsville Community Library,Dover Area Community Library,424
Collinsville Community Library,Gettysburg Library,27
Collinsville Community Library,Glatfelter Memorial Library,163
Collinsville Community Library,Guthrie Memorial Library: Hanover's Public Library,355
Collinsville Community Library,Harbaugh-Thomas Library (Biglerville),16
Collinsville Community Library,Kaltreider-Benfer Library,360
Collinsville Community Library,Kreutz Creek Valley Library,332
Collinsville Community Library,Lincoln Charter School,5
Collinsville Community Library,Littlestown Library,15
Collinsville Community Library,Manchester Township,74
Collinsville Community Library,Martin Library,228
Collinsville Community Library,Mason-Dixon Public Library,134
Collinsville Community Library,New Oxford Library,21
Collinsville Community Library,Paul Smith Library of Southern York County,324
Collinsville Community Library,Red Land Community Library,132
Collinsville Community Library,Springettsbury Township,23
Collinsville Community Library,Trone Memorial Library (East Berlin),20
Collinsville Community Library,Village Library,281
Collinsville Community Library,York Academy Regional Charter School- Lower School ,13
Collinsville Community Library,York Academy Regional Charter School- Upper School,4
Collinsville Community Library,York Literacy Institute,1
Conemaugh Township Branch,Bedford County Library,1
Conemaugh Township Branch,Conemaugh Township Branch,1
Conemaugh Township Branch,Everett Free Library,1
Conemaugh Township Branch,Lilly Washington Public Library,1
Conemaugh Township Branch,Somerset County Bookmobile,10
Conemaugh Township Branch,Somerset County Library,5
Conemaugh Township Branch,Windber Public Library,1
Coplay Public Library,Allentown Public Library,45
Coplay Public Library,Bangor Public Library,44
Coplay Public Library,Barrett Paradise Friendly Library,10
Coplay Public Library,Bethlehem Bookmobile,9
Coplay Public Library,Bethlehem Coolidge Branch,12
Coplay Public Library,Bethlehem Fountain Hill Satellite,1
Coplay Public Library,Bethlehem Main Library,94
Coplay Public Library,Bethlehem South Side Branch,5
Coplay Public Library,Clymer Library,17
Coplay Public Library,Coplay Public Library,3
Coplay Public Library,Dimmick Main Library,33
Coplay Public Library,Easton Main Library,40
Coplay Public Library,Easton Palmer Branch,54
Coplay Public Library,Emmaus Public Library,192
Coplay Public Library,Hughes Library,47
Coplay Public Library,Lehighton Area Memorial Library,111
Coplay Public Library,Lower Macungie Library,476
Coplay Public Library,Monroe County Bookmobile,7
Coplay Public Library,Palmerton Area Library,68
Coplay Public Library,Parkland Community Library,729
Coplay Public Library,Penn-Kidder Branch,33
Coplay Public Library,Pocono Mountain Public Library,10
Coplay Public Library,Pocono Township Branch,11
Coplay Public Library,Public Library of Catasauqua,56
Coplay Public Library,Slatington Public Library,31
Coplay Public Library,Smithfield Branch,23
Coplay Public Library,Southern Lehigh Public Library,292
Coplay Public Library,Western Pocono Community Library,22
Coplay Public Library,Whitehall Township Public Library,132
Coudersport Public Library,Blossburg Memorial Library,16
Coudersport Public Library,Coudersport Public Library,1
Coudersport Public Library,Elkland Area Community Library,5
Coudersport Public Library,Galeton Public Library,5
Coudersport Public Library,Genesee Area Library,5
Coudersport Public Library,Green Free Library (Wellsboro),68
Coudersport Public Library,Knoxville Public Library,2
Coudersport Public Library,Mansfield Free Public Library,41
Coudersport Public Library,Oswayo Valley Memorial Library,22
Coudersport Public Library,Westfield Public Library,5
Cresson Public Library,Abington Community Library,12
Cresson Public Library,Albright Memorial Library,5
Cresson Public Library,Altoona Area Public Library,16
Cresson Public Library,Beaverdale Public Library,7
Cresson Public Library,Bellwood-Antis Public Library,2
Cresson Public Library,Cambria County Library,27
Cresson Public Library,Carbondale Public Library,1
Cresson Public Library,Carrolltown Public Library,4
Cresson Public Library,Cresson Public Library,5
Cresson Public Library,Dalton Community Library,1
Cresson Public Library,Ebensburg Public Library,5
Cresson Public Library,Gallitzin Public Library,2
Cresson Public Library,Highland Community Library,17
Cresson Public Library,Hollidaysburg Area Public Library,7
Cresson Public Library,Home Delivery,1
Cresson Public Library,Lackawanna County Children's Library,2
Cresson Public Library,Lilly Washington Public Library,7
Cresson Public Library,Martinsburg Community Library,2
Cresson Public Library,Nancy Kay Holmes Branch Library,3
Cresson Public Library,Nanty Glo Public Library,2
Cresson Public Library,North Pocono Public Library,7
Cresson Public Library,Northern Cambria Public Library,1
Cresson Public Library,Patton Public Library,2
Cresson Public Library,Portage Public Library,4
Cresson Public Library,South Fork Public Library,2
Cresson Public Library,Taylor Community Library,9
Cresson Public Library,Tyrone-Snyder Public Library,4
Cresson Public Library,Valley Community Library,11
Curwensville Public Library,Clearfield County Public Library,36
Curwensville Public Library,Curwensville Public Library,13
Curwensville Public Library,DuBois Public Library,199
Curwensville Public Library,Joseph & Elizabeth Shaw Public Library,73
Dalton Community Library,Abington Community Library,317
Dalton Community Library,AccessPA NCIP Library,24
Dalton Community Library,Albright Memorial Library,424
Dalton Community Library,Altoona Area Public Library,21
Dalton Community Library,Beaverdale Public Library,2
Dalton Community Library,Bellwood-Antis Public Library,1
Dalton Community Library,Bethany Public Library,3
Dalton Community Library,Cambria County Library,10
Dalton Community Library,Carbondale Public Library,93
Dalton Community Library,Carrolltown Public Library,1
Dalton Community Library,Claysburg Area Public Library,3
Dalton Community Library,Dalton Community Library,27
Dalton Community Library,Dingman Township Library,23
Dalton Community Library,Ebensburg Public Library,3
Dalton Community Library,Forest City,4
Dalton Community Library,Gallitzin Public Library,1
Dalton Community Library,Hallstead - Great Bend,25
Dalton Community Library,Hamlin Library,8
Dalton Community Library,Hawley Public Library,12
Dalton Community Library,Highland Community Library,5
Dalton Community Library,Hollidaysburg Area Public Library,5
Dalton Community Library,Home Delivery,56
Dalton Community Library,Lackawanna County Children's Library,109
Dalton Community Library,Lackawanna County Tech Services,1
Dalton Community Library,Martinsburg Community Library,7
Dalton Community Library,Milford Library,66
Dalton Community Library,Montrose,21
Dalton Community Library,Nancy Kay Holmes Branch Library,119
Dalton Community Library,Nanty Glo Public Library,3
Dalton Community Library,Newfoundland Area Library,8
Dalton Community Library,North Pocono Public Library,185
Dalton Community Library,Northern Cambria Public Library,1
Dalton Community Library,Patton Public Library,1
Dalton Community Library,Pleasant Mount Library,6
Dalton Community Library,Portage Public Library,2
Dalton Community Library,Roaring Spring Community Library,1
Dalton Community Library,South Fork Public Library,1
Dalton Community Library,Susquehanna,12
Dalton Community Library,Taylor Community Library,91
Dalton Community Library,Tunkhannock Public Library,55
Dalton Community Library,Tyrone-Snyder Public Library,7
Dalton Community Library,Valley Community Library,170
Dalton Community Library,Wayne County Public Library,32
Dalton Community Library,Williamsburg Public Library,1
Dillsburg Area Public Library,Arthur Hufnagel Public Library,30
Dillsburg Area Public Library,Carroll Valley Library,47
Dillsburg Area Public Library,Collinsville Community Library,276
Dillsburg Area Public Library,Dillsburg Area Public Library,135
Dillsburg Area Public Library,Dover Area Community Library,1124
Dillsburg Area Public Library,Gettysburg Library,131
Dillsburg Area Public Library,Glatfelter Memorial Library,478
Dillsburg Area Public Library,Guthrie Memorial Library: Hanover's Public Library,1060
Dillsburg Area Public Library,Harbaugh-Thomas Library (Biglerville),42
Dillsburg Area Public Library,Kaltreider-Benfer Library,1049
Dillsburg Area Public Library,Kreutz Creek Valley Library,889
Dillsburg Area Public Library,Lincoln Charter School,12
Dillsburg Area Public Library,Littlestown Library,56
Dillsburg Area Public Library,Manchester Township,159
Dillsburg Area Public Library,Martin Library,887
Dillsburg Area Public Library,Mason-Dixon Public Library,323
Dillsburg Area Public Library,New Oxford Library,70
Dillsburg Area Public Library,Paul Smith Library of Southern York County,858
Dillsburg Area Public Library,Red Land Community Library,389
Dillsburg Area Public Library,Springettsbury Township,111
Dillsburg Area Public Library,Trone Memorial Library (East Berlin),49
Dillsburg Area Public Library,Village Library,952
Dillsburg Area Public Library,York Academy Regional Charter School- Lower School ,29
Dillsburg Area Public Library,York Academy Regional Charter School- Upper School,13
Dimmick Main Library,Allentown Public Library,29
Dimmick Main Library,Bangor Public Library,11
Dimmick Main Library,Barrett Paradise Friendly Library,11
Dimmick Main Library,Bethlehem Bookmobile,6
Dimmick Main Library,Bethlehem Coolidge Branch,8
Dimmick Main Library,Bethlehem Fountain Hill Satellite,2
Dimmick Main Library,Bethlehem Main Library,71
Dimmick Main Library,Bethlehem South Side Branch,5
Dimmick Main Library,Clymer Library,4
Dimmick Main Library,Coplay Public Library,15
Dimmick Main Library,Dimmick Main Library,18
Dimmick Main Library,Dimmick Memorial Library,1
Dimmick Main Library,Easton Main Library,23
Dimmick Main Library,Easton Palmer Branch,40
Dimmick Main Library,Emmaus Public Library,167
Dimmick Main Library,Hughes Library,36
Dimmick Main Library,Lehighton Area Memorial Library,75
Dimmick Main Library,Lower Macungie Library,364
Dimmick Main Library,Monroe County Bookmobile,2
Dimmick Main Library,Palmerton Area Library,47
Dimmick Main Library,Parkland Community Library,533
Dimmick Main Library,Penn-Kidder Branch,153
Dimmick Main Library,Pocono Mountain Public Library,7
Dimmick Main Library,Pocono Township Branch,4
Dimmick Main Library,Public Library of Catasauqua,53
Dimmick Main Library,Slatington Public Library,39
Dimmick Main Library,Smithfield Branch,38
Dimmick Main Library,Southern Lehigh Public Library,179
Dimmick Main Library,Western Pocono Community Library,19
Dimmick Main Library,Whitehall Township Public Library,161
Dingman Township Library,Abington Community Library,77
Dingman Township Library,AccessPA NCIP Library,61
Dingman Township Library,Albright Memorial Library,69
Dingman Township Library,Bethany Public Library,18
Dingman Township Library,Carbondale Public Library,26
Dingman Township Library,Dalton Community Library,10
Dingman Township Library,Dingman Township Library,137
Dingman Township Library,Forest City,7
Dingman Township Library,Hallstead - Great Bend,41
Dingman Township Library,Hamlin Library,110
Dingman Township Library,Hawley Public Library,145
Dingman Township Library,Home Delivery,2
Dingman Township Library,Lackawanna County Children's Library,12
Dingman Township Library,Milford Library,2196
Dingman Township Library,Montrose,35
Dingman Township Library,Nancy Kay Holmes Branch Library,26
Dingman Township Library,Newfoundland Area Library,89
Dingman Township Library,North Pocono Public Library,40
Dingman Township Library,Northern Wayne Community Library,44
Dingman Township Library,Pleasant Mount Library,38
Dingman Township Library,Susquehanna,19
Dingman Township Library,Taylor Community Library,24
Dingman Township Library,Tunkhannock Public Library,62
Dingman Township Library,Valley Community Library,30
Dingman Township Library,Wayne County Public Library,389
Dover Area Community Library,Arthur Hufnagel Public Library,25
Dover Area Community Library,Carroll Valley Library,32
Dover Area Community Library,Collinsville Community Library,187
Dover Area Community Library,Dillsburg Area Public Library,597
Dover Area Community Library,Dover Area Community Library,286
Dover Area Community Library,Gettysburg Library,118
Dover Area Community Library,Glatfelter Memorial Library,387
Dover Area Community Library,Guthrie Memorial Library: Hanover's Public Library,921
Dover Area Community Library,Harbaugh-Thomas Library (Biglerville),49
Dover Area Community Library,Kaltreider-Benfer Library,790
Dover Area Community Library,Kreutz Creek Valley Library,819
Dover Area Community Library,Lincoln Charter School,11
Dover Area Community Library,Littlestown Library,60
Dover Area Community Library,Manchester Township,186
Dover Area Community Library,Martin Library,692
Dover Area Community Library,Mason-Dixon Public Library,303
Dover Area Community Library,New Oxford Library,68
Dover Area Community Library,Paul Smith Library of Southern York County,735
Dover Area Community Library,Red Land Community Library,322
Dover Area Community Library,Springettsbury Township,94
Dover Area Community Library,Trone Memorial Library (East Berlin),62
Dover Area Community Library,Village Library,782
Dover Area Community Library,York Academy Regional Charter School- Lower School ,42
Dover Area Community Library,York Academy Regional Charter School- Upper School,12
DuBois Public Library,Clearfield County Public Library,54
DuBois Public Library,Curwensville Public Library,85
DuBois Public Library,DuBois Public Library,9
DuBois Public Library,Joseph & Elizabeth Shaw Public Library,173
Easton Main Library,Allentown Public Library,1067
Easton Main Library,Bangor Public Library,81
Easton Main Library,Barrett Paradise Friendly Library,59
Easton Main Library,Bethlehem Bookmobile,171
Easton Main Library,Bethlehem Coolidge Branch,300
Easton Main Library,Bethlehem Fountain Hill Satellite,10
Easton Main Library,Bethlehem Main Library,2185
Easton Main Library,Bethlehem South Side Branch,248
Easton Main Library,Clymer Library,38
Easton Main Library,Coplay Public Library,14
Easton Main Library,Dimmick Main Library,26
Easton Main Library,Easton Area Public Library System,1
Easton Main Library,Easton Main Library,543
Easton Main Library,Easton Palmer Branch,5147
Easton Main Library,Emmaus Public Library,124
Easton Main Library,Hughes Library,273
Easton Main Library,Lehighton Area Memorial Library,76
Easton Main Library,Lower Macungie Library,249
Easton Main Library,Memorial Library of Nazareth and Vicinity,822
Easton Main Library,Monroe County Bookmobile,12
Easton Main Library,Palmerton Area Library,30
Easton Main Library,Parkland Community Library,255
Easton Main Library,Penn-Kidder Branch,14
Easton Main Library,Pocono Mountain Public Library,47
Easton Main Library,Pocono Township Branch,47
Easton Main Library,Public Library of Catasauqua,34
Easton Main Library,Slatington Public Library,12
Easton Main Library,Smithfield Branch,183
Easton Main Library,Southern Lehigh Public Library,92
Easton Main Library,Western Pocono Community Library,100
Easton Main Library,Whitehall Township Public Library,92
Easton Palmer Branch,Allentown Public Library,376
Easton Palmer Branch,Bangor Public Library,27
Easton Palmer Branch,Barrett Paradise Friendly Library,13
Easton Palmer Branch,Bethlehem Bookmobile,70
Easton Palmer Branch,Bethlehem Coolidge Branch,144
Easton Palmer Branch,Bethlehem Fountain Hill Satellite,1
Easton Palmer Branch,Bethlehem Main Library,753
Easton Palmer Branch,Bethlehem South Side Branch,91
Easton Palmer Branch,Clymer Library,10
Easton Palmer Branch,Coplay Public Library,5
Easton Palmer Branch,Dimmick Main Library,10
Easton Palmer Branch,Easton Area Public Library System,1
Easton Palmer Branch,Easton Main Library,1341
Easton Palmer Branch,Easton Palmer Branch,483
Easton Palmer Branch,Emmaus Public Library,45
Easton Palmer Branch,Hughes Library,100
Easton Palmer Branch,Lehighton Area Memorial Library,16
Easton Palmer Branch,Lower Macungie Library,85
Easton Palmer Branch,Memorial Library of Nazareth and Vicinity,360
Easton Palmer Branch,Monroe County Bookmobile,1
Easton Palmer Branch,Palmerton Area Library,5
Easton Palmer Branch,Parkland Community Library,85
Easton Palmer Branch,Penn-Kidder Branch,2
Easton Palmer Branch,Pocono Mountain Public Library,21
Easton Palmer Branch,Pocono Township Branch,27
Easton Palmer Branch,Public Library of Catasauqua,25
Easton Palmer Branch,Slatington Public Library,8
Easton Palmer Branch,Smithfield Branch,53
Easton Palmer Branch,Southern Lehigh Public Library,38
Easton Palmer Branch,Western Pocono Community Library,25
Easton Palmer Branch,Whitehall Township Public Library,30
Ebensburg Public Library,Abington Community Library,57
Ebensburg Public Library,Albright Memorial Library,43
Ebensburg Public Library,Altoona Area Public Library,36
Ebensburg Public Library,Beaverdale Public Library,52
Ebensburg Public Library,Bellwood-Antis Public Library,7
Ebensburg Public Library,Cambria County Library,160
Ebensburg Public Library,Carbondale Public Library,14
Ebensburg Public Library,Carrolltown Public Library,13
Ebensburg Public Library,Claysburg Area Public Library,1
Ebensburg Public Library,Cresson Public Library,12
Ebensburg Public Library,Dalton Community Library,6
Ebensburg Public Library,Ebensburg Public Library,9
Ebensburg Public Library,Gallitzin Public Library,1
Ebensburg Public Library,Hastings Public Library,3
Ebensburg Public Library,Highland Community Library,152
Ebensburg Public Library,Hollidaysburg Area Public Library,18
Ebensburg Public Library,Home Delivery,8
Ebensburg Public Library,Lackawanna County Children's Library,14
Ebensburg Public Library,Lilly Washington Public Library,27
Ebensburg Public Library,Martinsburg Community Library,6
Ebensburg Public Library,Mary S. Biesecker Main Library,1
Ebensburg Public Library,Meyersdale Public Library,2
Ebensburg Public Library,Nancy Kay Holmes Branch Library,7
Ebensburg Public Library,Nanty Glo Public Library,41
Ebensburg Public Library,North Pocono Public Library,39
Ebensburg Public Library,Northern Cambria Public Library,22
Ebensburg Public Library,Patton Public Library,12
Ebensburg Public Library,Portage Public Library,60
Ebensburg Public Library,Somerset County Bookmobile,4
Ebensburg Public Library,Somerset County Library,1
Ebensburg Public Library,South Fork Public Library,6
Ebensburg Public Library,Taylor Community Library,29
Ebensburg Public Library,Tyrone-Snyder Public Library,11
Ebensburg Public Library,Valley Community Library,37
Ebensburg Public Library,Windber Public Library,4
Elkland Area Community Library,Blossburg Memorial Library,13
Elkland Area Community Library,Coudersport Public Library,15
Elkland Area Community Library,Galeton Public Library,4
Elkland Area Community Library,Genesee Area Library,2
Elkland Area Community Library,Green Free Library (Wellsboro),54
Elkland Area Community Library,Knoxville Public Library,6
Elkland Area Community Library,Mansfield Free Public Library,44
Elkland Area Community Library,Oswayo Valley Memorial Library,25
Elkland Area Community Library,Westfield Public Library,3
Emmaus Public Library,Allentown Public Library,107
Emmaus Public Library,Bangor Public Library,50
Emmaus Public Library,Barrett Paradise Friendly Library,35
Emmaus Public Library,Bethlehem Bookmobile,11
Emmaus Public Library,Bethlehem Coolidge Branch,34
Emmaus Public Library,Bethlehem Fountain Hill Satellite,1
Emmaus Public Library,Bethlehem Main Library,251
Emmaus Public Library,Bethlehem South Side Branch,26
Emmaus Public Library,Clymer Library,24
Emmaus Public Library,Coplay Public Library,71
Emmaus Public Library,Dimmick Main Library,76
Emmaus Public Library,Easton Main Library,102
Emmaus Public Library,Easton Palmer Branch,97
Emmaus Public Library,Emmaus Public Library,111
Emmaus Public Library,Hughes Library,105
Emmaus Public Library,Lehighton Area Memorial Library,230
Emmaus Public Library,Lower Macungie Library,1370
Emmaus Public Library,Monroe County Bookmobile,6
Emmaus Public Library,Palmerton Area Library,164
Emmaus Public Library,Parkland Community Library,2132
Emmaus Public Library,Penn-Kidder Branch,68
Emmaus Public Library,Pocono Mountain Public Library,14
Emmaus Public Library,Pocono Township Branch,22
Emmaus Public Library,Public Library of Catasauqua,160
Emmaus Public Library,Slatington Public Library,82
Emmaus Public Library,Smithfield Branch,60
Emmaus Public Library,Southern Lehigh Public Library,718
Emmaus Public Library,Western Pocono Community Library,38
Emmaus Public Library,Whitehall Township Public Library,455
Everett Free Library,Altoona Area Public Library,93
Everett Free Library,Bedford County Library,311
Everett Free Library,Bellwood-Antis Public Library,16
Everett Free Library,Claysburg Area Public Library,7
Everett Free Library,Everett Free Library,24
Everett Free Library,Hollidaysburg Area Public Library,38
Everett Free Library,Huntingdon County Library,123
Everett Free Library,Hyndman-Londonderry Public Library,76
Everett Free Library,Martinsburg Community Library,34
Everett Free Library,Meyersdale Public Library,18
Everett Free Library,Roaring Spring Community Library,4
Everett Free Library,Saxton Community Library,39
Everett Free Library,Somerset County Bookmobile,49
Everett Free Library,Somerset County Library,30
Everett Free Library,Tyrone-Snyder Public Library,25
Everett Free Library,Williamsburg Public Library,1
Everett Free Library,Windber Public Library,19
Exeter Community Library,BCPL - Headquarters,28
Exeter Community Library,Bernville Area Community Library,287
Exeter Community Library,Bethel Tulpehocken Public Library,773
Exeter Community Library,Boone Area Library,401
Exeter Community Library,Boyertown Community Library,1421
Exeter Community Library,Brandywine Community Library,573
Exeter Community Library,Exeter Community Library,333
Exeter Community Library,Fleetwood Area Public Library,665
Exeter Community Library,Hamburg Public Library,608
Exeter Community Library,Kutztown Community Library,656
Exeter Community Library,Mifflin Community Library,1025
Exeter Community Library,Muhlenberg Community Library,460
Exeter Community Library,RACC,75
Exeter Community Library,RPL - Northeast Branch,155
Exeter Community Library,RPL - Northwest Branch Library,48
Exeter Community Library,RPL - Senior Outreach,77
Exeter Community Library,RPL - Southeast Branch Library,215
Exeter Community Library,Reading Public Library RPL - Main,338
Exeter Community Library,Robesonia Community Library,176
Exeter Community Library,Schuylkill Valley Community Library,317
Exeter Community Library,Sinking Spring Library,463
Exeter Community Library,Spring Township Library,857
Exeter Community Library,Village Library of Morgantown,332
Exeter Community Library,Wernersville Public Library,459
Exeter Community Library,West Lawn-Wyomissing Hills Library,308
Exeter Community Library,Womelsdorf Community Library,424
Fleetwood Area Public Library,BCPL - Headquarters,6
Fleetwood Area Public Library,Bernville Area Community Library,108
Fleetwood Area Public Library,Bethel Tulpehocken Public Library,342
Fleetwood Area Public Library,Boone Area Library,199
Fleetwood Area Public Library,Boyertown Community Library,612
Fleetwood Area Public Library,Brandywine Community Library,191
Fleetwood Area Public Library,Exeter Community Library,670
Fleetwood Area Public Library,Fleetwood Area Public Library,142
Fleetwood Area Public Library,Hamburg Public Library,327
Fleetwood Area Public Library,Kutztown Community Library,292
Fleetwood Area Public Library,Mifflin Community Library,388
Fleetwood Area Public Library,Muhlenberg Community Library,200
Fleetwood Area Public Library,RACC,19
Fleetwood Area Public Library,RPL - Northeast Branch,46
Fleetwood Area Public Library,RPL - Northwest Branch Library,21
Fleetwood Area Public Library,RPL - Senior Outreach,21
Fleetwood Area Public Library,RPL - Southeast Branch Library,81
Fleetwood Area Public Library,Reading Public Library RPL - Main,127
Fleetwood Area Public Library,Robesonia Community Library,81
Fleetwood Area Public Library,Schuylkill Valley Community Library,138
Fleetwood Area Public Library,Sinking Spring Library,181
Fleetwood Area Public Library,Spring Township Library,342
Fleetwood Area Public Library,Village Library of Morgantown,146
Fleetwood Area Public Library,Wernersville Public Library,198
Fleetwood Area Public Library,West Lawn-Wyomissing Hills Library,107
Fleetwood Area Public Library,Womelsdorf Community Library,129
Forest City,Abington Community Library,52
Forest City,AccessPA NCIP Library,1
Forest City,Albright Memorial Library,46
Forest City,Carbondale Public Library,17
Forest City,Dalton Community Library,3
Forest City,Dingman Township Library,8
Forest City,Forest City,10
Forest City,Hallstead - Great Bend,34
Forest City,Hamlin Library,5
Forest City,Hawley Public Library,2
Forest City,Home Delivery,4
Forest City,Lackawanna County Children's Library,7
Forest City,Milford Library,41
Forest City,Montrose,105
Forest City,Nancy Kay Holmes Branch Library,6
Forest City,Newfoundland Area Library,13
Forest City,North Pocono Public Library,30
Forest City,Pleasant Mount Library,2
Forest City,Susquehanna,34
Forest City,Taylor Community Library,25
Forest City,Tunkhannock Public Library,32
Forest City,Valley Community Library,21
Forest City,Wayne County Public Library,11
Friendship Community Library,Annie Halenbake Ross Library,28
Friendship Community Library,Renovo Area Library,1
Galeton Public Library,Blossburg Memorial Library,21
Galeton Public Library,Coudersport Public Library,11
Galeton Public Library,Elkland Area Community Library,3
Galeton Public Library,Galeton Public Library,1
Galeton Public Library,Genesee Area Library,6
Galeton Public Library,Green Free Library (Wellsboro),66
Galeton Public Library,Mansfield Free Public Library,24
Galeton Public Library,Oswayo Valley Memorial Library,27
Galeton Public Library,Potter-Tioga Unit,1
Galeton Public Library,Westfield Public Library,7
Gallitzin Public Library,Abington Community Library,30
Gallitzin Public Library,Albright Memorial Library,32
Gallitzin Public Library,Altoona Area Public Library,11
Gallitzin Public Library,Beaverdale Public Library,13
Gallitzin Public Library,Bellwood-Antis Public Library,1
Gallitzin Public Library,Cambria County Library,37
Gallitzin Public Library,Carbondale Public Library,13
Gallitzin Public Library,Carrolltown Public Library,11
Gallitzin Public Library,Claysburg Area Public Library,1
Gallitzin Public Library,Cresson Public Library,3
Gallitzin Public Library,Dalton Community Library,3
Gallitzin Public Library,Ebensburg Public Library,11
Gallitzin Public Library,Hastings Public Library,3
Gallitzin Public Library,Highland Community Library,52
Gallitzin Public Library,Hollidaysburg Area Public Library,11
Gallitzin Public Library,Home Delivery,3
Gallitzin Public Library,Lackawanna County Children's Library,5
Gallitzin Public Library,Lilly Washington Public Library,8
Gallitzin Public Library,Martinsburg Community Library,5
Gallitzin Public Library,Nancy Kay Holmes Branch Library,7
Gallitzin Public Library,Nanty Glo Public Library,11
Gallitzin Public Library,North Pocono Public Library,14
Gallitzin Public Library,Northern Cambria Public Library,5
Gallitzin Public Library,Patton Public Library,3
Gallitzin Public Library,Portage Public Library,23
Gallitzin Public Library,Somerset County Bookmobile,3
Gallitzin Public Library,Somerset County Library,2
Gallitzin Public Library,South Fork Public Library,2
Gallitzin Public Library,Taylor Community Library,12
Gallitzin Public Library,Tyrone-Snyder Public Library,3
Gallitzin Public Library,Valley Community Library,14
Gallitzin Public Library,Williamsburg Public Library,1
Genesee Area Library,Blossburg Memorial Library,13
Genesee Area Library,Coudersport Public Library,4
Genesee Area Library,Elkland Area Community Library,5
Genesee Area Library,Galeton Public Library,2
Genesee Area Library,Green Free Library (Wellsboro),42
Genesee Area Library,Knoxville Public Library,4
Genesee Area Library,Mansfield Free Public Library,15
Genesee Area Library,Oswayo Valley Memorial Library,20
Genesee Area Library,Ulysses Library Association,4
Genesee Area Library,Westfield Public Library,2
Gettysburg Library,AccessPA NCIP Library,424
Gettysburg Library,Carroll Valley Library,2431
Gettysburg Library,Collinsville Community Library,12
Gettysburg Library,Dillsburg Area Public Library,16
Gettysburg Library,Dover Area Community Library,13
Gettysburg Library,Gettysburg Library,2360
Gettysburg Library,Glatfelter Memorial Library,18
Gettysburg Library,Guthrie Memorial Library: Hanover's Public Library,42
Gettysburg Library,Harbaugh-Thomas Library (Biglerville),3931
Gettysburg Library,Kaltreider-Benfer Library,33
Gettysburg Library,Kreutz Creek Valley Library,18
Gettysburg Library,Littlestown Library,2999
Gettysburg Library,Martin Library,73
Gettysburg Library,Mason-Dixon Public Library,10
Gettysburg Library,New Oxford Library,4200
Gettysburg Library,Paul Smith Library of Southern York County,46
Gettysburg Library,Red Land Community Library,14
Gettysburg Library,Trone Memorial Library (East Berlin),3226
Gettysburg Library,Village Library,26
Glatfelter Memorial Library,Arthur Hufnagel Public Library,31
Glatfelter Memorial Library,Carroll Valley Library,37
Glatfelter Memorial Library,Collinsville Community Library,202
Glatfelter Memorial Library,Dillsburg Area Public Library,554
Glatfelter Memorial Library,Dover Area Community Library,945
Glatfelter Memorial Library,Gettysburg Library,114
Glatfelter Memorial Library,Glatfelter Memorial Library,122
Glatfelter Memorial Library,Guthrie Memorial Library: Hanover's Public Library,791
Glatfelter Memorial Library,Harbaugh-Thomas Library (Biglerville),49
Glatfelter Memorial Library,Kaltreider-Benfer Library,752
Glatfelter Memorial Library,Kreutz Creek Valley Library,733
Glatfelter Memorial Library,Lincoln Charter School,20
Glatfelter Memorial Library,Littlestown Library,78
Glatfelter Memorial Library,Manchester Township,154
Glatfelter Memorial Library,Martin Library,659
Glatfelter Memorial Library,Mason-Dixon Public Library,268
Glatfelter Memorial Library,New Oxford Library,58
Glatfelter Memorial Library,Paul Smith Library of Southern York County,734
Glatfelter Memorial Library,Red Land Community Library,371
Glatfelter Memorial Library,Springettsbury Township,80
Glatfelter Memorial Library,Trone Memorial Library (East Berlin),49
Glatfelter Memorial Library,Village Library,712
Glatfelter Memorial Library,York Academy Regional Charter School- Lower School ,28
Glatfelter Memorial Library,York Academy Regional Charter School- Upper School,5
Glatfelter Memorial Library,York Literacy Institute,1
Green Free Library (Wellsboro),Blossburg Memorial Library,50
Green Free Library (Wellsboro),Coudersport Public Library,64
Green Free Library (Wellsboro),Elkland Area Community Library,19
Green Free Library (Wellsboro),Galeton Public Library,8
Green Free Library (Wellsboro),Genesee Area Library,9
Green Free Library (Wellsboro),Green Free Library (Wellsboro),3
Green Free Library (Wellsboro),Knoxville Public Library,15
Green Free Library (Wellsboro),Mansfield Free Public Library,103
Green Free Library (Wellsboro),Oswayo Valley Memorial Library,67
Green Free Library (Wellsboro),Ulysses Library Association,11
Green Free Library (Wellsboro),Westfield Public Library,8
Guthrie Memorial Library: Hanover's Public Library,Arthur Hufnagel Public Library,51
Guthrie Memorial Library: Hanover's Public Library,Carroll Valley Library,134
Guthrie Memorial Library: Hanover's Public Library,Collinsville Community Library,487
Guthrie Memorial Library: Hanover's Public Library,Dillsburg Area Public Library,1211
Guthrie Memorial Library: Hanover's Public Library,Dover Area Community Library,2104
Guthrie Memorial Library: Hanover's Public Library,Gettysburg Library,295
Guthrie Memorial Library: Hanover's Public Library,Glatfelter Memorial Library,859
