Check Out Library Name,Circulation Modifier,Circulation
Tunkhannock Public Library,High Demand Audiobooks,23
Pleasant Mount Library,Kit,23
Memorial Library of Nazareth and Vicinity,Media,23
Elkland Area Community Library,Realia,23
Albright Memorial Library,Video,23
Ulysses Library Association,Video,23
Galeton Public Library,,23
North Wales Area Library,Book Club Kit,24
Monroe County Correctional Facility,High Demand Books,24
Dingman Township Library,Kit,24
Knoxville Public Library,Kit,24
Mahanoy City Public Library,Kit,24
Bethlehem Fountain Hill Satellite,Media,24
Dalton Community Library,Media,24
Boyertown Community Library,Realia,24
Blossburg Memorial Library,Serial,24
Cambria County Library,Serial,24
Paul Smith Library of Southern York County,,24
Hughes Library,DVD Nonfiction,25
Conemaugh Township Branch,Equipment,25
Bethlehem South Side Branch,High Demand DVD and Blurays,25
Tamaqua Public Library,Music,25
Pleasant Mount Library,Serial,25
Easton Palmer Branch,Software,25
Emmaus Public Library,,25
Oswayo Valley Memorial Library,,25
Windber Public Library,,25
Altoona Area Public Library,DVD-R,26
Somerset County Library,Electronic Device,26
Bernville Area Community Library,ILL,26
Hamburg Public Library,ILL,26
Schuylkill Haven Free Public Library,Kit,26
Southern Lehigh Public Library,Media,26
Arthur Hufnagel Public Library,Serial,26
Nanty Glo Public Library,,26
Wyomissing Public Library,,26
Bethlehem Bookmobile,Audiobook,27
Williamsburg Public Library,Audiobook,27
Gallitzin Public Library,DVD,27
Palmerton Area Library,Electronic Device,27
Somerset County Library,Media,27
Ellwood City Area Public Library,Serial,27
Slatington Public Library,Serial,27
Cambria County Library,Book Club Kit,28
Saxton Community Library,DVD,28
Taylor Community Library,Kit,28
Somerset County Library,Noncirculating,28
RACC,Serial,28
New Castle Public Library,,28
Sinking Spring Library,,28
Pleasant Mount Library,DVD-R,29
Northern Wayne Community Library,High Demand Books,29
Montrose,Kit,29
Sinking Spring Library,Kit,29
Bernville Area Community Library,Realia,29
Bethlehem South Side Branch,Realia,29
Dalton Community Library,Serial,29
Forest City,Serial,29
Abington Community Library,,29
Conemaugh Township Branch,,29
Juniata County Library,,29
Cresson Public Library,Audiobook,30
RPL - Northwest Branch Library,Audiobook,30
Bethlehem Area Public Library System,Book,30
Glatfelter Memorial Library,DVD Nonfiction,30
Kreutz Creek Valley Library,DVD Nonfiction,30
Schuylkill Haven Free Public Library,DVD-R,30
DuBois Public Library,Equipment,30
Muhlenberg Community Library,ILL,30
Shamokin Coal Twp Public Library,Serial,30
Joseph & Elizabeth Shaw Public Library,Unknown,30
Robesonia Community Library,,30
Arthur Hufnagel Public Library,Audiobook,31
Pleasant Mount Library,High Demand Books,31
Dimmick Main Library,High Demand DVD and Blurays,31
Monroe County Bookmobile,Kit,31
RPL - Northwest Branch Library,Media,31
Curwensville Public Library,Audiobook,32
Springettsbury Township,Audiobook,32
Easton Main Library,DVD Nonfiction,32
Green Free Library (Wellsboro),Equipment,32
Valley Community Library,Equipment,32
Martinsburg Community Library,High Demand Books,32
Collinsville Community Library,High Demand DVD and Blurays,32
Curwensville Public Library,ILL,32
Tyrone-Snyder Public Library,Kit,32
Robesonia Community Library,Realia,32
Elkland Area Community Library,Unknown,32
Ralpho Township Public Library,,32
Somerset County Bookmobile,,32
Emmaus Public Library,Book Club Kit,33
Hallstead - Great Bend,DVD Nonfiction,33
Dingman Township Library,DVD-R,33
Emmaus Public Library,DVD-R,33
Womelsdorf Community Library,Electronic Device,33
Alexander Hamilton Memorial Free Library,Equipment,33
Easton Palmer Branch,Equipment,33
Hamlin Library,High Demand DVD and Blurays,33
Martin Library,High Demand DVD and Blurays,33
Milton Public Library,Kit,33
Hollidaysburg Area Public Library,Media,33
Parkland Community Library,Music,33
Schuylkill Valley Community Library,Software,33
Sinking Spring Library,Software,33
Clymer Library,,33
Schuylkill Haven Free Public Library,,33
Cambria County Library,DVD-R,34
Lehighton Area Memorial Library,Electronic Device,34
Martin Library,High Demand Audiobooks,34
Muhlenberg Community Library,Kit,34
Dingman Township Library,Music,34
Pottsville Free Public Library,Unknown,34
Hamlin Library,DVD Nonfiction,35
Kreutz Creek Valley Library,High Demand Audiobooks,35
Dillsburg Area Public Library,High Demand DVD and Blurays,35
Altoona Area Public Library,Software,35
Hamburg Public Library,Software,35
Carbondale Public Library,Kit,36
Kutztown Community Library,Kit,36
Tamaqua Public Library,Software,36
Wernersville Public Library,Software,36
Huntingdon County Library,,36
Coplay Public Library,Audiobook,37
Tamaqua Public Library,High Demand Books,37
Public Library of Catasauqua,ILL,37
Hollidaysburg Area Public Library,Kit,37
Elkland Area Community Library,Software,37
Paul Smith Library of Southern York County,Software,37
Bedford County Library,,37
Forest City,Audiobook,38
Northern Wayne Community Library,Audiobook,38
Guthrie Memorial Library: Hanover's Public Library,Equipment,38
Paul Smith Library of Southern York County,High Demand Audiobooks,38
Fleetwood Area Public Library,ILL,38
Dover Area Community Library,Software,38
Taylor Community Library,Software,38
North Wales Area Library,,38
Friendship Community Library,DVD,39
Penn-Kidder Branch,High Demand Books,39
Parkland Community Library,High Demand DVD and Blurays,39
Tamaqua Public Library,Kit,39
Montrose,Media,39
Tamaqua Public Library,Audiobook,40
Tyrone-Snyder Public Library,High Demand Books,40
Milford Library,Music,40
Brandywine Community Library,Realia,40
Allentown Public Library,Software,40
Pocono Mountain Public Library,,40
Hawley Public Library,Equipment,41
Wayne County Public Library,High Demand Books,41
Wernersville Public Library,ILL,41
Bethlehem South Side Branch,Media,41
North Wales Area Library,Media,41
Lower Macungie Library,Music,41
Cambria County Library,Noncirculating,41
Ralpho Township Public Library,Audiobook,42
Claysburg Area Public Library,DVD,42
Tunkhannock Public Library,DVD-R,42
Dalton Community Library,Kit,42
Village Library of Morgantown,Kit,42
Penn-Kidder Branch,Audiobook,43
Beaverdale Public Library,DVD,43
Womelsdorf Community Library,Realia,43
Everett Free Library,Electronic Device,44
Altoona Area Public Library,High Demand DVD and Blurays,44
Easton Palmer Branch,High Demand DVD and Blurays,44
Lower Macungie Library,High Demand DVD and Blurays,44
RPL - Southeast Branch Library,Serial,44
Schuylkill Haven Free Public Library,Serial,44
Green Free Library (Wellsboro),,44
Manchester Township,Audiobook,45
Tyrone-Snyder Public Library,Electronic Device,45
Dillsburg Area Public Library,Equipment,45
North Wales Area Library,Kit,45
Annie Halenbake Ross Library,Noncirculating,45
Pottsville Free Public Library,DVD Nonfiction,46
Penn-Kidder Branch,Electronic Device,46
Kaltreider-Benfer Library,High Demand Audiobooks,46
Palmerton Area Library,High Demand Books,46
Frackville Free Public Library,ILL,46
Red Land Community Library,Kit,46
Robesonia Community Library,Kit,46
Somerset County Bookmobile,Kit,46
Carbondale Public Library,Media,46
RPL - Northeast Branch,Software,46
Hastings Public Library,DVD,47
Pocono Township Branch,Equipment,47
Hyndman-Londonderry Public Library,Kit,47
Everett Free Library,Realia,47
Portage Public Library,DVD-R,48
Smithfield Branch,DVD-R,48
Susquehanna,DVD-R,48
Wayne County Public Library,High Demand Audiobooks,48
Bernville Area Community Library,Media,48
Bethlehem South Side Branch,Serial,48
Hughes Library,,48
Roaring Spring Community Library,,48
Glatfelter Memorial Library,Book Club Kit,49
York Academy Regional Charter School- Upper School,Equipment,49
Allentown Public Library,Kit,49
Monroe County Bookmobile,Audiobook,50
Milton Public Library,High Demand Books,50
Spring Township Library,ILL,50
Hollidaysburg Area Public Library,Realia,50
Lower Macungie Library,DVD Nonfiction,51
Barrett Paradise Friendly Library,Electronic Device,51
Collinsville Community Library,Equipment,51
West Lawn-Wyomissing Hills Library,Kit,51
Womelsdorf Community Library,Software,51
Newfoundland Area Library,High Demand DVD and Blurays,52
BCPL - Headquarters,Kit,52
Juniata County Library,Kit,52
Collinsville Community Library,Serial,52
Hallstead - Great Bend,Serial,52
Joseph & Elizabeth Shaw Public Library,,52
Montrose,,52
Wernersville Public Library,,52
Meyersdale Public Library,DVD-R,53
Reading Public Library RPL - Main,Software,53
Blossburg Memorial Library,ILL,54
Schuylkill Valley Community Library,ILL,54
Emmaus Public Library,Media,54
Harbaugh-Thomas Library (Biglerville),Media,54
Village Library of Morgantown,Serial,54
Boone Area Library,,54
Hollidaysburg Area Public Library,DVD Nonfiction,55
Roaring Spring Community Library,High Demand DVD and Blurays,55
Somerset County Bookmobile,High Demand DVD and Blurays,55
Degenstein Community Library,Music,55
Somerset County Bookmobile,Realia,55
Village Library of Morgantown,Software,55
Windber Public Library,Audiobook,56
Hughes Library,DVD-R,56
Paul Smith Library of Southern York County,Equipment,56
Easton Main Library,High Demand DVD and Blurays,56
Wayne County Public Library,High Demand DVD and Blurays,56
Ellwood City Area Public Library,Audiobook,57
Sinking Spring Library,Realia,57
Albright Memorial Library,,57
Milford Library,DVD-R,58
Guthrie Memorial Library: Hanover's Public Library,High Demand Audiobooks,58
Williamsburg Public Library,High Demand Books,58
Easton Palmer Branch,Kit,58
Dingman Township Library,Software,58
Village Library of Morgantown,,58
Coudersport Public Library,Audiobook,59
Albright Memorial Library,Equipment,59
Ebensburg Public Library,Kit,59
Gettysburg Library,Media,59
Hughes Library,Media,59
Conemaugh Township Branch,Audiobook,60
Dalton Community Library,DVD Nonfiction,60
Whitehall Township Public Library,DVD-R,60
Mason-Dixon Public Library,ILL,60
Palmerton Area Library,ILL,60
Robesonia Community Library,ILL,60
DuBois Public Library,,60
Altoona Area Public Library,Electronic Device,61
Elkland Area Community Library,Electronic Device,61
Milford Library,Electronic Device,61
Hollidaysburg Area Public Library,Equipment,61
Carbondale Public Library,ILL,61
Highland Community Library,Media,61
Altoona Area Public Library,Music,61
Curwensville Public Library,Serial,62
Schuylkill Valley Community Library,Kit,63
Kreutz Creek Valley Library,Media,63
Clymer Library,High Demand DVD and Blurays,64
Kutztown Community Library,Software,64
Hamburg Public Library,,64
Mary S. Biesecker Main Library,,65
Pocono Mountain Public Library,Audiobook,66
Robesonia Community Library,Electronic Device,66
Bedford County Library,High Demand Books,66
Collinsville Community Library,Kit,66
Mary S. Biesecker Main Library,Serial,66
Bethlehem Main Library,,66
Meyersdale Public Library,High Demand Books,67
Red Land Community Library,ILL,67
Kreutz Creek Valley Library,Kit,67
Coplay Public Library,Serial,67
Clymer Library,Video,67
Schuylkill Haven Free Public Library,Audiobook,68
RPL - Senior Outreach,Audiobook,69
Alexander Hamilton Memorial Free Library,DVD,69
Dimmick Main Library,Electronic Device,69
Hamburg Public Library,Electronic Device,69
Oswayo Valley Memorial Library,ILL,69
New Castle Public Library,Kit,69
Bethlehem Coolidge Branch,Software,69
Brandywine Community Library,Software,69
Emmaus Public Library,Equipment,70
Tunkhannock Public Library,High Demand DVD and Blurays,71
Southern Lehigh Public Library,ILL,71
Nanty Glo Public Library,Audiobook,72
Bernville Area Community Library,Serial,72
Degenstein Community Library,,72
Westfield Public Library,Audiobook,73
Memorial Library of Nazareth and Vicinity,DVD Nonfiction,73
Taylor Community Library,DVD Nonfiction,73
Lackawanna County Children's Library,DVD-R,73
Public Library of Catasauqua,DVD-R,73
Guthrie Memorial Library: Hanover's Public Library,Kit,74
Somerset County Bookmobile,Audiobook,75
Genesee Area Library,DVD,75
Glatfelter Memorial Library,Media,75
Pleasant Mount Library,Audiobook,77
Dimmick Main Library,High Demand Books,77
Hamlin Library,High Demand Books,77
Hawley Public Library,,77
Meyersdale Public Library,Audiobook,78
Hamlin Library,ILL,78
Milton Public Library,ILL,78
Hyndman-Londonderry Public Library,High Demand Books,79
RPL - Northwest Branch Library,Electronic Device,80
Brandywine Community Library,ILL,80
Dimmick Main Library,ILL,80
Orwigsburg Area Free Public Library,Kit,80
Hamburg Public Library,Media,80
RPL - Northeast Branch,Serial,80
Ralpho Township Public Library,DVD,81
Hawley Public Library,DVD Nonfiction,81
Southern Lehigh Public Library,DVD-R,81
Knoxville Public Library,Media,81
Wernersville Public Library,Realia,81
Saxton Community Library,Audiobook,82
Meyersdale Public Library,ILL,82
Dimmick Main Library,Serial,82
Pocono Mountain Public Library,Video,82
Guthrie Memorial Library: Hanover's Public Library,,82
Kutztown Community Library,ILL,83
Tamaqua Public Library,DVD-R,84
Bethlehem Coolidge Branch,Realia,84
Green Free Library (Wellsboro),Serial,84
Conemaugh Township Branch,High Demand Books,85
Indian Valley Public Library,,85
Shamokin Coal Twp Public Library,,85
Northern Cambria Public Library,Audiobook,87
Nancy Kay Holmes Branch Library,DVD Nonfiction,87
Hawley Public Library,Audiobook,88
Womelsdorf Community Library,Media,88
Hawley Public Library,Kit,89
Lackawanna County Children's Library,Kit,90
Newfoundland Area Library,Audiobook,91
Saxton Community Library,Kit,91
Fleetwood Area Public Library,Media,91
Schuylkill Valley Community Library,Media,91
Minersville Public Library,Video,91
Somerset County Library,High Demand Books,93
Kaltreider-Benfer Library,Kit,93
Altoona Area Public Library,Equipment,94
Cambria County Library,Electronic Device,95
Bethlehem Bookmobile,High Demand Books,95
Schuylkill Valley Community Library,Realia,95
Everett Free Library,Kit,96
Wernersville Public Library,Kit,96
New Castle Public Library,Media,96
Pocono Township Branch,Music,96
Muhlenberg Community Library,Serial,96
Joseph & Elizabeth Shaw Public Library,Audiobook,97
Slatington Public Library,High Demand Books,97
Gettysburg Library,Equipment,98
Everett Free Library,ILL,98
North Pocono Public Library,Kit,98
Bethlehem Coolidge Branch,Media,98
Monroe County Bookmobile,Music,98
Dimmick Main Library,Audiobook,99
Emmaus Public Library,DVD Nonfiction,99
Village Library,High Demand Audiobooks,100
RPL - Southeast Branch Library,Kit,100
Guthrie Memorial Library: Hanover's Public Library,DVD Nonfiction,101
Springettsbury Township,High Demand Books,101
Bethlehem South Side Branch,DVD Nonfiction,102
Patton Public Library,Software,102
Galeton Public Library,Music,103
Mifflin Community Library,Software,103
Palmerton Area Library,DVD Nonfiction,104
Monroe County Bookmobile,Serial,104
Spring Township Library,Software,104
Allentown Public Library,High Demand DVD-R,105
Mansfield Free Public Library,High Demand DVD and Blurays,106
RACC,,106
Bethlehem South Side Branch,Equipment,107
Tunkhannock Public Library,Realia,108
Nancy Kay Holmes Branch Library,Audiobook,109
Public Library of Catasauqua,Electronic Device,109
Hawley Public Library,High Demand DVD and Blurays,109
Womelsdorf Community Library,Kit,109
Windber Public Library,ILL,110
Village Library,Kit,110
Bangor Public Library,Audiobook,111
Blossburg Memorial Library,Audiobook,111
Joseph & Elizabeth Shaw Public Library,ILL,111
Parkland Community Library,Kit,111
Memorial Library of Nazareth and Vicinity,,111
Oswayo Valley Memorial Library,Audiobook,113
Bethlehem South Side Branch,High Demand Books,114
Carrolltown Public Library,Software,114
Lower Macungie Library,Electronic Device,115
Bangor Public Library,Serial,115
Newfoundland Area Library,DVD Nonfiction,116
Emmaus Public Library,High Demand Books,118
Bethlehem Main Library,High Demand DVD and Blurays,118
RPL - Senior Outreach,Media,118
Degenstein Community Library,Kit,119
Bethlehem Coolidge Branch,Serial,121
Hawley Public Library,ILL,123
Paul Smith Library of Southern York County,Kit,123
DuBois Public Library,Serial,123
Alexander Hamilton Memorial Free Library,Realia,124
Bedford County Library,DVD,125
Dillsburg Area Public Library,DVD Nonfiction,125
Cambria County Library,Music,125
Altoona Area Public Library,ILL,126
Kreutz Creek Valley Library,ILL,126
Paul Smith Library of Southern York County,Media,126
Martin Library,Realia,126
Village Library of Morgantown,Electronic Device,127
Orwigsburg Area Free Public Library,Serial,127
Martin Library,Equipment,128
Paul Smith Library of Southern York County,Realia,128
Somerset County Bookmobile,Serial,128
Abington Community Library,ILL,129
Newfoundland Area Library,ILL,129
Susquehanna,Realia,129
Everett Free Library,Audiobook,130
Bethlehem Coolidge Branch,Audiobook,131
Schuylkill Valley Community Library,Electronic Device,131
Bethlehem Main Library,High Demand DVD-R,134
Wyomissing Public Library,Electronic Device,136
Carrolltown Public Library,Audiobook,137
Southern Lehigh Public Library,DVD Nonfiction,138
RPL - Northeast Branch,Electronic Device,138
Parkland Community Library,Media,138
Somerset County Library,Realia,138
Carroll Valley Library,Serial,138
Lower Macungie Library,Kit,139
Spring Township Library,Kit,139
Dingman Township Library,DVD Nonfiction,140
Bethlehem Bookmobile,DVD-R,140
Emmaus Public Library,Serial,140
Boyertown Community Library,Software,140
Robesonia Community Library,Software,140
Ashland Public Library,ILL,141
Wayne County Public Library,Kit,141
RPL - Northeast Branch,Audiobook,142
Gallitzin Public Library,Software,142
Boyertown Community Library,ILL,143
Ringtown Area Library,ILL,144
Tamaqua Public Library,ILL,144
Taylor Community Library,ILL,144
Nancy Kay Holmes Branch Library,ILL,145
Indian Valley Public Library,Book Club Kit,146
Collinsville Community Library,ILL,146
Bethel Tulpehocken Public Library,Electronic Device,147
Bethlehem Coolidge Branch,High Demand Books,147
Saxton Community Library,High Demand Books,148
Milford Library,Realia,148
New Castle Public Library,Electronic Device,149
Manchester Township,High Demand Books,150
Monroe County Bookmobile,High Demand Books,150
Dingman Township Library,High Demand DVD and Blurays,150
Coplay Public Library,DVD-R,151
Mary S. Biesecker Main Library,Media,152
Red Land Community Library,Serial,152
Womelsdorf Community Library,Audiobook,153
Portage Public Library,Equipment,153
Windber Public Library,High Demand Books,155
Dalton Community Library,ILL,155
Juniata County Library,Media,157
Ulysses Library Association,Audiobook,158
Lehighton Area Memorial Library,High Demand DVD and Blurays,158
Nancy Kay Holmes Branch Library,Media,158
Easton Main Library,Electronic Device,159
Lackawanna County Children's Library,Equipment,159
Sinking Spring Library,Media,159
Valley Community Library,Serial,159
Emmaus Public Library,Kit,160
Nancy Kay Holmes Branch Library,Serial,160
Northampton Area Public Library,Book,161
West Lawn-Wyomissing Hills Library,ILL,164
Smithfield Branch,High Demand Books,166
Wernersville Public Library,Media,166
RPL - Southeast Branch Library,Software,167
Cresson Public Library,Equipment,170
Nanty Glo Public Library,DVD,171
Tunkhannock Public Library,DVD Nonfiction,172
Glatfelter Memorial Library,ILL,173
Village Library,ILL,173
RACC,Media,173
Whitehall Township Public Library,Music,173
Roaring Spring Community Library,Audiobook,175
Kutztown Community Library,Electronic Device,177
Whitehall Township Public Library,Realia,178
Bethlehem Coolidge Branch,DVD-R,179
Emmaus Public Library,High Demand DVD and Blurays,179
North Pocono Public Library,ILL,179
Valley Community Library,ILL,179
Bernville Area Community Library,Electronic Device,181
Village Library of Morgantown,Media,181
Southern Lehigh Public Library,High Demand Books,182
Reading Public Library RPL - Main,ILL,182
Taylor Community Library,Realia,182
Cresson Public Library,DVD,184
Parkland Community Library,DVD-R,184
Fleetwood Area Public Library,Realia,184
Bangor Public Library,ILL,185
Kreutz Creek Valley Library,Serial,185
Mason-Dixon Public Library,DVD,186
Bedford County Library,Kit,186
Memorial Library of Nazareth and Vicinity,Equipment,187
Arthur Hufnagel Public Library,High Demand Books,187
Schuylkill Haven Free Public Library,ILL,187
Somerset County Library,Kit,187
North Wales Area Library,Serial,187
Southern Lehigh Public Library,Realia,188
Carrolltown Public Library,DVD,190
Easton Palmer Branch,DVD-R,190
Smithfield Branch,Music,190
Parkland Community Library,Electronic Device,191
Lower Macungie Library,ILL,193
Tyrone-Snyder Public Library,Realia,193
Red Land Community Library,DVD,194
Whitehall Township Public Library,Electronic Device,194
Clymer Library,ILL,194
Juniata County Library,Software,194
Mifflin Community Library,ILL,196
Wyomissing Public Library,Media,196
Williamsburg Public Library,DVD,197
Wernersville Public Library,Electronic Device,197
Brandywine Community Library,Kit,197
Somerset County Bookmobile,High Demand Books,198
Slatington Public Library,ILL,200
Claysburg Area Public Library,Audiobook,201
Southern Lehigh Public Library,Electronic Device,201
Port Carbon Public Library,Book,202
Boone Area Library,Kit,202
Mary S. Biesecker Main Library,High Demand Books,205
Dillsburg Area Public Library,ILL,205
Westfield Public Library,Noncirculating,206
Portage Public Library,Audiobook,208
Curwensville Public Library,DVD,208
Taylor Community Library,Media,209
Martinsburg Community Library,DVD,210
Pocono Township Branch,High Demand Books,212
Boyertown Community Library,Kit,212
North Pocono Public Library,DVD Nonfiction,213
Paul Smith Library of Southern York County,DVD Nonfiction,213
Valley Community Library,DVD Nonfiction,213
Boone Area Library,Media,213
Wayne County Public Library,DVD-R,215
Hawley Public Library,Software,217
Highland Community Library,Software,217
Pocono Township Branch,Audiobook,218
Lehighton Area Memorial Library,Audiobook,220
Lehighton Area Memorial Library,High Demand Books,222
Altoona Area Public Library,Media,222
BCPL - Headquarters,DVD,223
RPL - Southeast Branch Library,Electronic Device,223
Dingman Township Library,ILL,225
Lilly Washington Public Library,,225
Milford Library,DVD Nonfiction,226
Milford Library,Software,230
Somerset County Library,,232
Easton Main Library,Kit,235
Tunkhannock Public Library,Kit,235
Kaltreider-Benfer Library,ILL,236
Womelsdorf Community Library,Serial,236
Paul Smith Library of Southern York County,ILL,237
Carbondale Public Library,DVD Nonfiction,238
Pottsville Free Public Library,Kit,238
Pottsville Free Public Library,Realia,239
Green Free Library (Wellsboro),Kit,241
Lehighton Area Memorial Library,ILL,242
Pocono Mountain Public Library,Media,242
Mansfield Free Public Library,Audiobook,244
Lackawanna County Children's Library,Media,245
Montrose,High Demand Books,247
Lilly Washington Public Library,DVD,248
Bellwood-Antis Public Library,Audiobook,254
Allentown Public Library,High Demand DVD and Blurays,255
Shamokin Coal Twp Public Library,Book Club Kit,258
Boone Area Library,Electronic Device,260
Orwigsburg Area Free Public Library,High Demand Books,260
Annie Halenbake Ross Library,Kit,260
Oswayo Valley Memorial Library,Equipment,262
Emmaus Public Library,Electronic Device,265
Hallstead - Great Bend,Audiobook,268
Boyertown Community Library,Media,268
Lackawanna County Children's Library,DVD Nonfiction,269
Claysburg Area Public Library,High Demand Books,269
Dalton Community Library,Video,269
Martinsburg Community Library,Audiobook,270
Joseph & Elizabeth Shaw Public Library,DVD,272
Kaltreider-Benfer Library,Equipment,272
Highland Community Library,Realia,272
Spring Township Library,Media,273
New Oxford Library,Serial,273
Trone Memorial Library (East Berlin),Serial,275
Tamaqua Public Library,DVD,277
Bethel Tulpehocken Public Library,Kit,277
Smithfield Branch,Serial,278
Allentown Public Library,Music,279
Parkland Community Library,ILL,280
Whitehall Township Public Library,Kit,280
Highland Community Library,Audiobook,281
Emmaus Public Library,ILL,283
Exeter Community Library,Software,285
Hamlin Library,,285
Ulysses Library Association,DVD,286
DuBois Public Library,Audiobook,290
FD Campbell Memorial Library,DVD,292
North Wales Area Library,DVD,297
Brandywine Community Library,Media,297
Westfield Public Library,,297
New Oxford Library,Audiobook,299
Bedford County Library,Audiobook,302
Somerset County Library,Audiobook,302
Kreutz Creek Valley Library,DVD,302
Annie Halenbake Ross Library,ILL,302
Robesonia Community Library,Audiobook,304
Easton Palmer Branch,Serial,305
Bedford County Library,ILL,308
Ulysses Library Association,Serial,308
Carroll Valley Library,ILL,309
New Castle Public Library,DVD Nonfiction,310
Northern Cambria Public Library,DVD,311
Exeter Community Library,ILL,315
Kutztown Community Library,Media,318
RPL - Northeast Branch,Media,319
Somerset County Library,ILL,320
Memorial Library of Nazareth and Vicinity,Realia,322
Bernville Area Community Library,Software,322
Milton Public Library,Audiobook,325
Altoona Area Public Library,Kit,327
Wayne County Public Library,ILL,328
Martin Library,Kit,328
Altoona Area Public Library,High Demand Books,331
Susquehanna,Serial,331
Bethel Tulpehocken Public Library,ILL,336
Public Library of Catasauqua,High Demand Books,337
Hamlin Library,Serial,337
Easton Main Library,DVD-R,341
West Lawn-Wyomissing Hills Library,Electronic Device,343
Martin Library,Serial,343
Penn-Kidder Branch,DVD,344
Harbaugh-Thomas Library (Biglerville),ILL,353
North Pocono Public Library,Equipment,356
Bethel Tulpehocken Public Library,Software,356
Easton Palmer Branch,ILL,357
Muhlenberg Community Library,Software,357
Smithfield Branch,Equipment,358
Degenstein Community Library,Electronic Device,362
Parkland Community Library,Software,363
Shamokin Coal Twp Public Library,Audiobook,365
Bernville Area Community Library,Audiobook,366
Exeter Community Library,Kit,367
Western Pocono Community Library,ILL,368
West Lawn-Wyomissing Hills Library,Serial,368
Windber Public Library,DVD,371
Memorial Library of Nazareth and Vicinity,DVD-R,371
Carbondale Public Library,Serial,371
New Castle Public Library,ILL,374
Emmaus Public Library,Music,374
Kutztown Community Library,Serial,376
Mary S. Biesecker Main Library,DVD,377
Valley Community Library,Software,377
Taylor Community Library,,377
Roaring Spring Community Library,High Demand Books,378
Carroll Valley Library,High Demand Books,379
Fleetwood Area Public Library,Electronic Device,380
Tunkhannock Public Library,ILL,383
DuBois Public Library,Video,383
Wayne County Public Library,DVD Nonfiction,385
Easton Palmer Branch,Media,385
Roaring Spring Community Library,DVD,386
Tyrone-Snyder Public Library,Audiobook,388
Barrett Paradise Friendly Library,ILL,388
Lackawanna County Children's Library,Realia,390
Taylor Community Library,Serial,391
Orwigsburg Area Free Public Library,Audiobook,395
Allentown Public Library,Serial,396
Mary S. Biesecker Main Library,ILL,398
Littlestown Library,Serial,399
Robesonia Community Library,Serial,402
Bernville Area Community Library,,403
New Oxford Library,ILL,404
Alexander Hamilton Memorial Free Library,Serial,404
Degenstein Community Library,Serial,408
Bethlehem South Side Branch,Software,408
Bethlehem South Side Branch,Audiobook,409
Martin Library,DVD Nonfiction,410
North Pocono Public Library,Media,414
Degenstein Community Library,Audiobook,415
RPL - Southeast Branch Library,Audiobook,415
Tyrone-Snyder Public Library,DVD,416
Hughes Library,ILL,416
Easton Palmer Branch,Noncirculating,416
Parkland Community Library,Realia,420
Glatfelter Memorial Library,Serial,421
Bethlehem Main Library,Equipment,424
Boone Area Library,Software,424
Boone Area Library,Serial,430
Coplay Public Library,DVD,431
Mifflin Community Library,Serial,431
Ringtown Area Library,Serial,431
Dalton Community Library,DVD-R,432
Littlestown Library,Audiobook,433
DuBois Public Library,ILL,433
Green Free Library (Wellsboro),Audiobook,435
Collinsville Community Library,DVD,438
Montrose,Unknown,438
Wernersville Public Library,Audiobook,439
Coudersport Public Library,DVD,440
Spring Township Library,Serial,440
Fleetwood Area Public Library,Kit,441
Mifflin Community Library,Kit,442
Southern Lehigh Public Library,Music,443
Reading Public Library RPL - Main,Serial,444
Dingman Township Library,Audiobook,446
Fleetwood Area Public Library,Software,446
Dover Area Community Library,ILL,450
West Lawn-Wyomissing Hills Library,Media,453
Clymer Library,Serial,456
Susquehanna,Audiobook,461
Memorial Library of Nazareth and Vicinity,Software,462
Red Land Community Library,High Demand Books,464
Dingman Township Library,Serial,465
Whitehall Township Public Library,Serial,466
Village Library,DVD,467
Pocono Township Branch,Serial,467
Palmerton Area Library,Audiobook,470
Kaltreider-Benfer Library,Serial,471
Guthrie Memorial Library: Hanover's Public Library,ILL,472
Cambria County Library,Kit,474
Carbondale Public Library,Audiobook,476
West Lawn-Wyomissing Hills Library,Audiobook,476
Lehighton Area Memorial Library,DVD-R,478
Bethlehem Main Library,Kit,482
Monroe County Bookmobile,DVD,484
Littlestown Library,High Demand Books,485
Easton Main Library,ILL,487
Bethlehem Fountain Hill Satellite,Book,488
Pottsville Free Public Library,DVD-R,498
Harbaugh-Thomas Library (Biglerville),Serial,499
Guthrie Memorial Library: Hanover's Public Library,Software,504
Valley Community Library,Kit,505
North Wales Area Library,Audiobook,506
Bethlehem Bookmobile,DVD,510
Allentown Public Library,Equipment,510
Bethel Tulpehocken Public Library,Serial,510
Patton Public Library,Audiobook,513
Pottsville Free Public Library,Serial,516
Allentown Public Library,ILL,522
Forest City,DVD,523
Barrett Paradise Friendly Library,Serial,524
Juniata County Library,ILL,525
Hamlin Library,Audiobook,526
Wayne County Public Library,Serial,527
Windber Public Library,Software,534
Whitehall Township Public Library,High Demand Books,538
North Pocono Public Library,Serial,538
Muhlenberg Community Library,Media,539
Sinking Spring Library,Audiobook,540
DuBois Public Library,DVD,540
Milford Library,Kit,545
Collinsville Community Library,Audiobook,547
Spring Township Library,Electronic Device,547
New Oxford Library,High Demand Books,547
Littlestown Library,ILL,547
Clymer Library,High Demand Books,553
Exeter Community Library,Electronic Device,557
Northern Cambria Public Library,Software,558
